Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
19-09-2017,26-09-2018,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Sureshwar Thakur,Punjab and Haryana,Section 70,5,372,9,
12-11-2018,19-08-2019,Assault or criminal force to deter public servant from discharge of his duty,Shivkumar Ganpatrao Dige,Bombay,Section 353,5,280,7,
03-03-2017,22-07-2017,Dishonest misappropriation of property possessed by deceased person at the time of his death,Meenakshi I. Mehta,Punjab and Haryana,Section 404,5,141,2,
25-07-2019,28-04-2020,"Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",Alexander Thomas,Kerala,Section 458,5,278,14,
13-02-2018,23-05-2018,Assault or criminal force to deter public servant from discharge of his duty,Makarand Subhash Karnik,Bombay,Section 353,5,99,6,
28-07-2017,25-01-2018,Punishment for forgery,Inderjeet Singh,Rajasthan,Section 465,5,181,2,
21-03-2019,17-06-2019,Wearing garb or carrying token used by public servant with fraudulent intent,Talwant Singh,Delhi,Section 171,4,88,6,
17-08-2019,14-12-2019,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",Konakanti Sreenivasa Reddy,Andhra Pradesh,Section 87,4,119,7,
23-11-2017,01-01-2018,Criminal intimidation,Manash Ranjan Pathak,Gauhati,Section 503,1,39,2,
03-01-2020,22-07-2020,Liability of agent of owner of occupier for whose benefit riot is committed,Savitri Ratho,Orissa,Section 156,5,201,13,
28-05-2019,31-03-2020,Punishment for same offence when committed by person entrusted with custody,Mohd. Aslam,Allahabad,Section 462,4,308,8,
04-10-2019,30-05-2020,Public nuisance,Hethur Puttaswamygowda Sandesh,Karnataka,Section 268,4,239,16,
04-06-2019,12-09-2020,"Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",Dinesh Kumar Paliwal,Madhya Pradesh,Section 458,3,466,10,
14-05-2017,26-09-2017,"Wearing garb or carrying token used by soldier, sailor or airman",D. Bharatha Chakravarthy,Madras,Section 140,4,135,1,
21-12-2017,08-06-2018,Act with intendent to disrobe a woman,Purushaindra Kumar Kaurav,Madhya Pradesh,Section 354 B,4,169,6,
01-07-2017,09-05-2018,Hurt,Sandeep Kumar,Patna,Section 319,4,312,3,
06-12-2017,16-02-2019,Concealment of birth by secret disposal of dead body,Ahsanuddin Amanullah,Andhra Pradesh,Section 318,2,437,6,
28-04-2017,19-05-2018,Punishment for wrongful Confinement,Arijit Banerjee,Calcutta,Section 342,3,386,1,
17-10-2019,08-06-2020,"Putting person in fear of accusation of offence, in order to commit extortion",Sandipkumar Chandrabhan More,Bombay,Section 389,1,235,18,
06-11-2019,25-12-2020,Resistance or obstruction to lawful apprehension of another person,Revati Prashant Mohite Dere,Bombay,Section 225,4,415,11,
04-06-2017,18-07-2018,Failure to keep election accounts,Ananta Manohar Badar,Patna,Section 171I,3,409,8,
02-01-2018,10-04-2019,Resistance or obstruction to lawful apprehension of another person,Sanjay V. Gangapurwala,Bombay,Section 225,4,463,12,
01-01-2018,20-11-2018,Using as true a certificate known to be false,Milind Ramesh Phadke,Madhya Pradesh,Section 198,1,323,4,
07-04-2017,17-05-2017,Forged document or electronic record,Aparesh Kumar Singh,Jharkhand,Section 470,3,40,1,
07-01-2020,07-11-2020,Kidnapping from India,M. S. Ramachandra Rao,Punjab and Haryana,Section 360,1,305,19,
28-07-2017,22-11-2017,"Sale, etc, or obscene books, etc",Shircy V.,Kerala,Section 292,4,117,2,
05-01-2018,14-08-2018,Assault or criminal force to woman with intent to outrage her modesty,Arun Dev Choudhury,Gauhati,Section 354,3,221,7,
28-10-2019,08-03-2020,Act of a child under seven years of age,Perugu Sree Sudha,Telangana,Section 82,2,132,6,
13-02-2017,24-03-2017,"Putting person in fear of accusation of offence, in order to commit extortion",Vijay Bishnoi,Rajasthan,Section 389,2,39,1,
04-05-2017,10-04-2018,"Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc",Anil Satyavijay Kilor,Bombay,Section 439,4,341,1,
11-01-2018,30-11-2018,Malignant act likely to spread infection of disease dangerous to life,Alok Aradhe,Karnataka,Section 270,4,323,3,
17-01-2018,16-08-2018,Assisting in concealment of stolen property,Dr. Hosur Bhujangaraya Prabhakara Sastry,Karnataka,Section 414,5,211,5,
03-12-2019,24-01-2021,"Using as genuine, forged or counterfeit currency-notes or bank-notes",Rajendra Kumar (Verma),Madhya Pradesh,Section 489B,2,418,12,
22-03-2018,13-07-2018,Punishment for the mischief described in section 437 committed by fire or explosive substance,Girish Agnihotri,Punjab and Haryana,Section 438,3,113,5,
10-02-2018,21-06-2018,Danger or obstruction in public way or line of navigation,Raj Mohan Singh,Punjab and Haryana,Section 283,2,131,4,
06-07-2017,19-01-2018,Sale of drug as a different drug or preparation,Mahendar Kumar Goyal,Rajasthan,Section 276,2,197,2,
25-06-2019,03-11-2019,"Exposure and abandonment of child under twelve years, by parent or person having care of it",Kalyan Rai Surana,Gauhati,Section 317,4,131,15,
23-01-2020,14-01-2021,Punishment for bribery,Prakash Shrivastava (CJ),Calcutta,Section 171E,4,357,15,
02-10-2018,08-11-2019,Stolen Property,Madan Gopal Vyas,Rajasthan,Section 410,5,402,12,
11-04-2017,01-01-2018,Counterfeiting a property mark used by another,Ramesh Deokinandan Dhanuka,Bombay,Section 483,4,265,1,
19-02-2020,24-03-2020,Punishment,Kalyan Rai Surana,Gauhati,Section 311,3,34,17,
31-07-2018,08-12-2018,Public servant voluntary allowing prisoner of State or war to escape,Sudhir Kumar Jain,Delhi,Section 128,5,130,8,
13-01-2018,31-03-2019,House trespass,Virendrasingh Gyansingh Bisht,Bombay,Section 442,1,442,8,
19-12-2018,04-07-2019,Breach of contract to attend on and supply wants of helpless person,Sandeep Kashinath Shinde,Bombay,Section 491,4,197,10,
25-03-2018,04-09-2018,Intercourse by public servant with woman is his custody,Chagari Praveen Kumar,Andhra Pradesh,Section 376B,4,163,7,
17-10-2019,05-07-2020,Omission to assist public servant when bound by law to give assistance,Rajiv Singh,Allahabad,Section 187,5,262,11,
07-04-2020,24-01-2021,House-trespass in order to commit offence punishable with imprisonment for life,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 450,4,292,18,
28-06-2018,11-09-2018,Undue influence at elections,Arun Bhansali,Rajasthan,Section 171C,3,75,8,
16-05-2017,12-06-2018,Punishment for forgery,Sanjay V. Gangapurwala,Bombay,Section 465,5,392,5,
15-05-2018,25-01-2019,Receiving Property taken by war on depredation mention in Sections 125 and 126,Prakash Chandra Gupta,Madhya Pradesh,Section 127,1,255,1,
19-12-2017,18-02-2019,Assisting in concealment of stolen property,Maralur Indrakumar Arun,Karnataka,Section 414,2,426,5,
14-06-2019,22-11-2019,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,Vikram D Chauhan,Allahabad,Section 495,5,161,12,
19-07-2019,15-08-2019,Sale of adulterated drugs,Vaddiboyana Sujatha,Andhra Pradesh,Section 275,5,27,7,
18-03-2019,09-05-2020,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Krishnan Ramasmy,Madras,Section 327,2,418,11,
26-01-2019,06-08-2019,Disturbing religious assembly,Shamim Ahmed,Allahabad,Section 296,1,192,4,
01-01-2019,25-12-2019,"Preventing service of summons or other proceeding, or preventing publication thereof",Harsimran Singh Sethi,Punjab and Haryana,Section 173,1,358,8,
28-04-2019,19-02-2020,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,Sandeep Moudgil,Punjab and Haryana,Section 423,1,297,8,
31-07-2017,06-06-2018,Act causing slight harm,Rajendra Meghraj Sareen,Gujarat,Section 95,5,310,3,
14-06-2018,24-04-2019,Stalking,V. G. Arun,Kerala,Section 354 D,4,314,10,
29-04-2017,15-02-2018,Intentional insult with intent to provoke breach of the peace,Krishnan Natarajan,Karnataka,Section 504,5,292,4,
24-11-2018,02-09-2019,"Definition of “harbour” in sections 212, 216 and 216A",Sashikanta Mishra,Orissa,Section 216B,4,282,8,
28-02-2018,07-06-2018,"Collecting arms, etc, with intention of waging war against the Government of India",A. D. Jagadish Chandira,Madras,Section 122,1,99,6,
09-08-2017,03-05-2018,Abetment of offence punishable with imprisonment-if offence be not committed,Arun Dev Choudhury,Gauhati,Section 116,4,267,5,
02-05-2018,15-02-2019,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Shriram Madhusudan Modak,Bombay,Section 133,2,289,7,
18-08-2018,12-06-2019,"Word, gesture or act intended to insult the modesty of a woman",Manindra Mohan Shrivastava (ACJ),Rajasthan,Section 509,3,298,12,
23-08-2017,03-12-2018,Causing death by negligence,Amjad Astesham Syed,Bombay,Section 304A,2,467,4,
05-06-2017,14-11-2017,Limit of punishment of offence made up of several offences,Umesh Kumar,Allahabad,Section 71,2,162,3,
31-01-2020,13-11-2020,Voluntarily causing hurt to deter public servant from his duty,Bugess Pesi Colabawalla,Bombay,Section 332,3,287,11,
19-08-2017,06-12-2018,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",Ananda Kumar Mukherjee,Calcutta,Section 240,4,474,7,
20-06-2018,01-08-2018,Amount of fine,Meenakshi I. Mehta,Punjab and Haryana,Section 63,2,42,4,
06-10-2018,26-11-2019,"Sale, etc, of obscene objects to young person",Anil Kumar Sinha,Patna,Section 293,1,416,11,
01-03-2019,25-02-2020,"Criminal breach of trust by carrier, etc",Vinod Kumar Bharwani,Rajasthan,Section 407,3,361,5,
10-11-2017,08-02-2019,Kidnapping or abducting with intent secretly and wrongfully to confine person,Ritu Raj Awasthi (CJ),Karnataka,Section 365,1,455,6,
20-07-2019,14-11-2019,Fractions of terms of punishment,Pradeep Singh Yerur,Karnataka,Section 57,2,117,6,
20-01-2020,31-12-2020,Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment,Jasgurpreet Singh Puri,Punjab and Haryana,Section 454,4,346,16,
21-12-2017,14-11-2018,"Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",N. Seshasayee,Madras,Section 458,1,328,4,
24-01-2019,28-02-2019,Voluntarily causing grievous hurt by dangerous weapons or means,Hethur Puttaswamygowda Sandesh,Karnataka,Section 326,2,35,8,
21-05-2019,28-11-2019,Voluntarily causing grievous hurt by dangerous weapons or means,Rajesh Singh Chauhan,Allahabad,Section 326,1,191,10,
06-02-2019,18-04-2019,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Vivek Kumar Singh,Allahabad,Section 421,2,71,7,
30-09-2018,22-10-2018,Dishonest misappropriation of property,A. A. Nakkiran,Madras,Section 403,2,22,9,
02-05-2018,22-04-2019,Dishonest misappropriation of property possessed by deceased person at the time of his death,Madan Gopal Vyas,Rajasthan,Section 404,5,355,9,
16-04-2017,31-05-2018,Wearing garb or carrying token used by public servant with fraudulent intent,Bhaskar Raj Pradhan,Sikkim,Section 171,1,410,1,
18-05-2017,05-12-2017,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable",Harminder Singh Madaan,Punjab and Haryana,Section 65,5,201,1,
06-03-2018,15-02-2019,Escape from confinement or custody negligently suffered by public servant,Shivanna Sujatha,Karnataka,Section 223,2,346,6,
01-06-2018,28-05-2019,House-trespass in order to commit offence punishable with imprisonment,Atul Sharachchandra Chandurkar,Bombay,Section 451,2,361,14,
16-02-2018,02-02-2019,Destruction of document or electronic record to prevent its production as sevidence,Avachat Rajendra Govind,Bombay,Section 204,3,351,8,
07-03-2018,30-11-2018,Act of a child above seven and under twelve of immature understanding,Biren Aniruddh Vaishnav,Gujarat,Section 83,4,268,7,
18-03-2017,24-07-2017,"Delivery of coin, possessed with knowledge that it is altered",Sachin Shankar Magadum,Karnataka,Section 250,2,128,2,
26-11-2019,09-01-2020,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,Biren Aniruddh Vaishnav,Gujarat,Section 75,4,44,13,
24-01-2018,02-04-2018,Resistance or obstruction by a person to his lawful apprehension,Kalyan Rai Surana,Gauhati,Section 224,4,68,3,
14-06-2017,20-11-2017,Negligent conduct with respect to pulling down or repairing buildings,A. A. Nakkiran,Madras,Section 288,1,159,5,
03-07-2017,26-09-2017,Dowery death,Rajesh Singh Chauhan,Allahabad,Section 304B,2,85,3,
09-10-2019,19-10-2020,"Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",Sameer Jain,Allahabad,Section 477,3,376,25,
18-06-2019,08-07-2019,Receiving Property taken by war on depredation mention in Sections 125 and 126,Jasgurpreet Singh Puri,Punjab and Haryana,Section 127,5,20,11,
10-11-2019,12-05-2020,Affray,Biraja Prasanna Satapathy,Orissa,Section 159,2,184,17,
16-10-2017,16-07-2018,Punishment for rape,Arvind Singh Sangwan,Punjab and Haryana,Section 376,5,273,6,
19-12-2018,27-03-2019,Kidnapping or abducting with intent secretly and wrongfully to confine person,Khazi Jayabunnisa Mohiuddin,Karnataka,Section 365,1,98,8,
05-05-2018,20-08-2019,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,Sanjeev Narula,Delhi,Section 206,3,472,10,
15-01-2018,14-05-2018,Obstructing public servant in discharge of public functions,Sanjaya Kumar Mishra (ACJ),Uttarakhand,Section 186,1,119,1,
17-07-2019,28-03-2020,Solitary confinement,Sanjeev Prakash Sharma,Patna,Section 73,3,255,8,
17-03-2018,30-09-2018,Termination of imprisonment on payment of proportional part of fine,Lalit Batra,Punjab and Haryana,Section 69,5,197,8,
23-06-2019,31-10-2019,Act of Judge when acting judicially,Manmohan,Delhi,Section 77,3,130,6,
02-04-2020,05-11-2020,Using as genuine a Government stamp known to be a counterfeit,D. Bharatha Chakravarthy,Madras,Section 260,3,217,15,
28-09-2017,12-11-2018,Conveying person by water for hire in unsafe or overloaded vessel,Biren Aniruddh Vaishnav,Gujarat,Section 282,1,410,6,
17-06-2018,31-05-2019,"Kidnapping for ransom, etc",Sudhir Kumar Jain,Delhi,Section 364A,3,348,12,
21-12-2017,21-08-2018,"Forgery of valuable security, will, etc",R. Pongiappan,Madras,Section 467,5,243,6,
15-08-2018,08-06-2019,Refusing to answer public servant authorised to question,Siddharth,Allahabad,Section 179,1,297,9,
20-03-2020,19-04-2021,Act endangering life or personal safety of others,Sandeep Moudgil,Punjab and Haryana,Section 336,5,395,14,
22-09-2019,02-12-2019,Rash driving or riding on a public way,Ratnaker Bhengra,Jharkhand,Section 279,5,71,17,
17-08-2017,19-10-2018,Act endangering life or personal safety of others,Rajan Roy,Allahabad,Section 336,2,428,6,
10-07-2019,12-10-2019,Destruction of document or electronic record to prevent its production as sevidence,Ali Mohd. Magrey,Jammu & Kashmir and Ladakh,Section 204,3,94,8,
13-08-2017,07-10-2017,Repealed,M. S. Ramachandra Rao,Punjab and Haryana,Section 161-165A,2,55,1,
12-05-2019,09-06-2020,Disobedience to quarantine rule,Kausik Chanda,Calcutta,Section 271,2,394,7,
26-06-2019,27-08-2019,Punishment for house-trespass,Prashant Kumar Mishra (CJ),Andhra Pradesh,Section 448,1,62,4,
27-11-2017,20-03-2018,Punishment for rioting,Gurvinder Singh Gill,Punjab and Haryana,Section 147,4,113,3,
13-09-2017,27-08-2018,Dishonest misappropriation of property,Dr. Kauser Edappagath,Kerala,Section 403,2,348,9,
12-09-2019,23-11-2019,"Wrongful confinement to extort property, or constrain to illegal act",Joymalya Bagchi,Calcutta,Section 347,2,72,11,
26-07-2017,19-05-2018,Tampering with property mark with intent to cause injury,Shinde Sambhaji Shiwaji,Bombay,Section 489,4,297,3,
26-11-2019,27-10-2020,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for",Raj Mohan Singh,Punjab and Haryana,Section 225A,4,336,14,
17-03-2017,23-11-2017,Adulteration of drugs,Ajit Singh,Allahabad,Section 274,1,251,1,
13-07-2018,05-10-2018,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc",Jaishree Thakur,Punjab and Haryana,Section 367,4,84,5,
04-11-2018,08-07-2019,Failure to keep election accounts,Virendrasingh Gyansingh Bisht,Bombay,Section 171I,2,246,9,
03-02-2020,29-03-2021,Obscene acts and songs,Hitesh Kumar Sarma,Gauhati,Section 294,3,420,22,
01-12-2019,12-06-2020,"Criminal breach of trust by carrier, etc",Mary Joseph,Kerala,Section 407,1,194,13,
05-10-2019,27-11-2020,"Abetment of desertion of soldier, sailor or airman",Harminder Singh Madaan,Punjab and Haryana,Section 135,3,419,12,
09-04-2020,26-12-2020,Mischief,Devan Ramachandran,Kerala,Section 425,4,261,16,
19-10-2019,07-04-2020,Definition of appropriate Government,Krishan Pahal,Allahabad,Section 55A,1,171,13,
